mech,pe,seed,intact_acc,shuffled_mean,delta_pp,ckpt_regenerated
osc,learned_abs,0,89.414,63.957,25.457,True
osc,learned_abs,1,90.305,71.393,18.913,True
osc,learned_abs,2,90.062,67.504,22.558,True
osc,learned_abs,3,90.494,65.055,25.439,True
osc,learned_abs,4,89.711,69.619,20.092,True
osc,none,0,88.874,74.966,13.908,False
osc,none,1,88.496,73.319,15.177,False
osc,none,2,88.388,65.965,22.423,False
osc,none,3,89.198,69.979,19.219,False
osc,none,4,88.793,74.210,14.583,False
osc,sinusoidal,0,90.251,66.721,23.530,True
osc,sinusoidal,1,90.548,71.041,19.507,True
osc,sinusoidal,2,90.845,64.002,26.843,True
osc,sinusoidal,3,90.224,61.122,29.103,True
osc,sinusoidal,4,90.710,59.087,31.623,True
softmax,learned_abs,0,89.981,69.745,20.236,True
softmax,learned_abs,1,90.008,69.970,20.038,True
softmax,learned_abs,2,89.954,70.276,19.678,True
softmax,learned_abs,3,90.359,72.815,17.544,True
softmax,learned_abs,4,90.494,71.114,19.381,True
softmax,none,0,87.686,87.686,0.000,False
softmax,none,1,88.577,88.577,0.000,False
softmax,none,2,86.849,86.849,0.000,False
softmax,none,3,87.200,87.200,-0.000,False
softmax,none,4,87.875,87.875,0.000,False
softmax,sinusoidal,0,89.738,63.462,26.276,True
softmax,sinusoidal,1,89.684,68.755,20.929,True
softmax,sinusoidal,2,89.819,72.545,17.274,True
softmax,sinusoidal,3,89.738,71.807,17.931,True
softmax,sinusoidal,4,90.035,62.580,27.455,True
