target,type,scale,T,draw,acc,ppl,subset
kws,coupling,0.2,,1,0.8892789630029706,,
ts,settle,,2,1,,7.731303021070291,100
kws,state,0.05,,4,0.8890089116932217,,
ts,coupling,0.01,,1,,7.595139718909242,
ts,coupling,0.2,,3,,7.617182280797458,
ts,settle,,10,2,,7.628101404654841,100
ts,coupling,0.05,,3,,7.596979014019804,
ts,state,0.05,,4,,7.640200637492529,
ts,state,0.5,,4,,11.056657607374056,
kws,settle,,5,1,0.90234375,,512
ts,state,0.2,,0,,8.091977834167631,
kws,state,0.2,,1,0.8887388603834728,,
kws,coupling,0.01,,0,0.8890089116932217,,
ts,baseline,,,,,7.594625213234995,
kws,coupling,0.05,,2,0.888468809073724,,
kws,settle,,1,2,0.904296875,,512
kws,coupling,0.05,,3,0.8895490143127194,,
kws,settle,,5,0,0.90234375,,512
ts,state,0.2,,1,,8.089743750400707,
kws,state,0.2,,0,0.8881987577639752,,
kws,coupling,0.01,,1,0.8890089116932217,,
kws,settle,,0.5,2,0.90234375,,512
kws,state,0.5,,4,0.883067782878747,,
ts,settle,,0.5,2,,8.01556595796724,100
ts,coupling,0.1,,4,,7.597912739694022,
ts,coupling,0.05,,2,,7.595840267465268,
kws,settle,,10,2,0.904296875,,512
ts,coupling,0.01,,0,,7.594570462149291,
ts,coupling,0.2,,2,,7.613461247732288,
ts,settle,,2,0,,7.742270559316528,100
kws,coupling,0.5,,4,0.8871185525249797,,
kws,coupling,0.2,,0,0.8890089116932217,,
kws,state,0.5,,3,0.8817175263300027,,
ts,state,0.5,,2,,10.984311321303933,
ts,settle,,30,1,,7.607401687792459,100
kws,settle,,30,0,0.904296875,,512
ts,state,0.1,,0,,7.683295366420947,
kws,state,0.1,,1,0.8890089116932217,,
kws,coupling,0.05,,4,0.8892789630029706,,
kws,state,0.01,,0,0.8887388603834728,,
kws,coupling,0.5,,3,0.8852281933567377,,
ts,settle,,1,1,,7.834362318364678,100
kws,state,0.05,,2,0.888468809073724,,
kws,coupling,0.1,,1,0.888468809073724,,
ts,state,0.01,,0,,7.59749454855098,
ts,coupling,0.5,,1,,7.661934700333028,
ts,state,0.05,,2,,7.61780379205619,
ts,coupling,0.1,,3,,7.602202918623948,
ts,coupling,0.1,,2,,7.597514544692855,
ts,coupling,0.05,,4,,7.595078880272639,
ts,state,0.05,,3,,7.618502072062805,
ts,coupling,0.5,,0,,7.68309314970426,
ts,state,0.01,,1,,7.597777977040762,
ts,coupling,0.2,,4,,7.629870975605649,
kws,coupling,0.1,,0,0.8890089116932217,,
kws,state,0.05,,3,0.8890089116932217,,
ts,settle,,1,0,,7.83891069416799,100
kws,coupling,0.5,,2,0.8863083985957332,,
kws,state,0.01,,1,0.8890089116932217,,
ts,settle,,5,2,,7.669080201413868,100
ts,settle,,30,0,,7.601951511532304,100
kws,settle,,30,1,0.90234375,,512
ts,state,0.1,,1,,7.719401363455193,
kws,state,0.1,,0,0.8898190656224683,,
kws,settle,,2,2,0.900390625,,512
kws,state,0.5,,2,0.8803672697812585,,
ts,state,0.5,,3,,11.061422244216915,
kws,state,0.1,,3,0.8881987577639752,,
ts,state,0.1,,2,,7.7361137914928415,
kws,settle,,30,2,0.90234375,,512
ts,state,0.2,,4,,8.080430763454906,
kws,coupling,0.01,,4,0.8887388603834728,,
ts,state,0.5,,0,,11.207112811165516,
kws,state,0.5,,1,0.8814474750202539,,
kws,settle,,2,1,0.900390625,,512
ts,coupling,0.1,,1,,7.593467702896918,
ts,state,0.05,,0,,7.618065312651826,
ts,coupling,0.5,,3,,7.68503816755864,
ts,state,0.01,,2,,7.596859046414793,
kws,coupling,0.1,,3,0.8890089116932217,,
kws,state,0.05,,0,0.8890089116932217,,
kws,coupling,0.5,,1,0.8873886038347286,,
kws,state,0.01,,2,0.8887388603834728,,
ts,settle,,5,1,,7.661356053758202,100
kws,coupling,0.2,,4,0.8876586551444775,,
ts,settle,,5,0,,7.67115158881949,100
kws,state,0.01,,3,0.888468809073724,,
kws,coupling,0.5,,0,0.8846880907372401,,
ts,settle,,1,2,,7.795192897998263,100
kws,state,0.05,,1,0.8898190656224683,,
kws,coupling,0.1,,2,0.8903591682419659,,
ts,state,0.01,,3,,7.593320854212491,
ts,coupling,0.01,,4,,7.594697346220312,
ts,coupling,0.5,,2,,7.678538529660204,
ts,state,0.05,,1,,7.620142104853638,
ts,coupling,0.1,,0,,7.596046272323917,
ts,state,0.5,,1,,11.216065335671967,
kws,state,0.5,,0,0.8795571158520119,,
kws,settle,,2,0,0.904296875,,512
kws,state,0.2,,4,0.888468809073724,,
kws,baseline,,,,0.8887388603834728,,
kws,state,0.1,,2,0.8890089116932217,,
ts,state,0.1,,3,,7.728315938347855,
ts,settle,,30,2,,7.605617310549386,100
ts,coupling,0.05,,1,,7.595861997672005,
kws,settle,,10,1,0.90234375,,512
ts,settle,,10,0,,7.620764729673397,100
ts,state,0.01,,4,,7.5964391747159885,
ts,coupling,0.2,,1,,7.619081841295702,
ts,coupling,0.01,,3,,7.594754705468718,
kws,state,0.01,,4,0.8887388603834728,,
kws,coupling,0.2,,3,0.8895490143127194,,
kws,coupling,0.05,,0,0.8890089116932217,,
kws,settle,,1,1,0.904296875,,512
ts,state,0.1,,4,,7.697033934505128,
kws,state,0.2,,3,0.8898190656224683,,
kws,coupling,0.01,,2,0.8887388603834728,,
ts,state,0.2,,2,,8.096787882685286,
kws,settle,,0.5,1,0.90234375,,512
ts,settle,,0.5,1,,8.047530109675726,100
ts,settle,,0.5,0,,8.047878215434327,100
kws,settle,,0.5,0,0.8984375,,512
kws,state,0.2,,2,0.8892789630029706,,
kws,coupling,0.01,,3,0.8887388603834728,,
ts,state,0.2,,3,,8.099885869855084,
kws,settle,,5,2,0.90234375,,512
kws,state,0.1,,4,0.8890089116932217,,
kws,coupling,0.05,,1,0.8895490143127194,,
kws,settle,,1,0,0.90234375,,512
kws,coupling,0.2,,2,0.8900891169322172,,
ts,settle,,2,2,,7.7412650562312715,100
kws,coupling,0.1,,4,0.8900891169322172,,
ts,coupling,0.2,,0,,7.619650319529152,
ts,coupling,0.01,,2,,7.594448794483104,
ts,coupling,0.5,,4,,7.67785319737153,
kws,settle,,10,0,0.90234375,,512
ts,settle,,10,1,,7.625266756390319,100
ts,coupling,0.05,,0,,7.595202296301022,
